Planes,SatsPerPlane,inclination,MCG,Rejected0,Rejected1,Rejected2,Rejected3,Rejected4
3,3,25,104.6472,-1,-1,-1,-1,-1
3,4,25,96.43025,-1,-1,-1,-1,-1
3,5,25,91.53897,-1,-1,-1,-1,-1
3,6,25,72.74725,-1,-1,-1,-1,-1
4,3,20,113.3183,-1,-1,-1,-1,-1
4,4,20,104.85408,-1,-1,-1,-1,-1
4,5,20,99.96483,-1,-1,-1,-1,-1
4,6,20,96.73022,-1,-1,-1,-1,-1
5,3,20,48.47433,-1,-1,-1,-1,-1
5,4,20,56.51138,-1,-1,-1,-1,-1
5,5,20,41.6507,-1,-1,-1,-1,-1
5,6,20,13.22442,-1,-1,-1,-1,-1
6,3,20.0,28.1304,3,0,1,0
6,4,20.0,19.63328,6,0,2,0
6,5,20.0,14.55553,9,0,3,0
6,6,20.0,11.14932,12,0,4,0


