Planes,SatsPerPlane,inclination,MCG,Rejected0,Rejected1,Rejected2,Rejected3,Rejected4
3,3,85.7,99.36922,5,0,0,0,0
3,4,85.7,90.77478,10,0,0,0,0
3,5,85.7,85.81058,15,0,0,0,0
3,6,80.7,115.4131,19,0,0,0,0
4,3,60.7,29.88217,19,0,0,0,0
4,4,60.7,21.44245,19,0,0,0,0
4,5,60.7,16.63557,19,0,0,0,0
4,6,60.7,14.31772,19,0,0,0,0
5,3,60.7,27.05562,19,0,0,0,0
5,4,60.7,18.89662,19,0,0,0,0
5,5,60.7,14.00537,19,0,0,0,0
5,6,60.7,10.74752,19,0,0,0,0
6,3,60.7,26.49392,19,0,0,0,0
6,4,60.7,18.28977,19,0,0,0,0
6,5,60.7,13.3704,19,0,0,0,0
6,6,60.7,10.09235,19,0,0,0,0
6,5,
