Greenland (min sats.),2,2,70.0,93.2
Greenland (min incl.),12,4,65.0,27.9
SouthKorea (min sats.),3,3,35.0,93.2
SouthKorea (min incl.),15,5,20.0,117.4
Australia (min sats.),4,4,30.0,96.4
Australia (min incl.),15,5,25.0,116.9
Brazil (min sats.),3,3,25.0,97.1
Brazil (min incl.),12,4,15.0,76.8
Lebanon (min sats.),9,3,25.0,36.5
Lebanon (min incl.),12,4,20.0,42.6
Italy (min sats.),9,3,40.0,40.7
Italy (min incl.),15,5,30.0,83.9
WorldMountains (min sats.),10,5,60.0,118.9
WorldMountains (min incl.),15,5,60.0,116.7
